name,population,latitude,longitude,dst_offset,raw_offset,total_offset,timezone,sunset_utc
tokyo,31480498.0,35.685,139.751389,0,32400,32400,0,1406713560
shanghai,14608512.0,31.045556,121.399722,0,28800,28800,0,1406717400
bombay,12692717.0,18.975,72.825833,0,19800,19800,0,1406727900
karachi,11627378.0,24.9056,67.0822,0,18000,18000,0,1406729820
delhi,10928270.0,28.666667,77.216667,0,19800,19800,0,1406727780
new delhi,10928270.0,28.6,77.2,0,19800,19800,0,1406727780
manila,10443877.0,14.6042,120.9822,0,28800,28800,0,1406715900
moscow,10381288.0,55.752222,37.615556,0,14400,14400,0,1406742000
seoul,10323448.0,37.5985,126.9783,0,32400,32400,0,1406716860
sao paulo,10021437.0,-23.473293,-46.665803,0,-10800,-10800,0,1406752980
istanbul,9797536.0,41.018611,28.964722,3600,7200,10800,0,1406740920
lagos,8789133.0,6.453056,3.395833,0,3600,3600,0,1406743500
mexico,8720916.0,19.434167,-99.138611,3600,-21600,-18000,0,1406769180
jakarta,8540306.0,-6.174444,106.829444,0,25200,25200,0,1406717640
new york,8107916.0,40.7141667,-74.0063889,3600,-18000,-14400,0,1406765580
kinshasa,7787832.0,-4.3,15.3,0,3600,3600,0,1406739780
cairo,7734602.0,30.05,31.25,0,7200,7200,0,1406738940
lima,7646786.0,-12.05,-77.05,0,-18000,-18000,0,1406761260
peking,7480601.0,39.928889,116.388333,0,28800,28800,0,1406719740
london,7421228.0,51.514125,-0.093689,3600,0,3600,0,1406749860
bogota,7102602.0,4.649178,-74.062827,0,-18000,-18000,0,1406761920
dhaka,6493177.0,23.7230556,90.4086111,0,21600,21600,0,1406724120
lahore,6312576.0,31.549722,74.343611,0,18000,18000,0,1406728800
rio de janeiro,6023742.0,-22.9,-43.233333,0,-10800,-10800,0,1406752200
baghdad,5672516.0,33.3386111,44.3938889,0,10800,10800,0,1406736180
bangkok,5104475.0,13.753979,100.501444,0,25200,25200,0,1406720760
bangalore,4931603.0,12.983333,77.583333,0,19800,19800,0,1406726220
santiago,4837248.0,-33.45,-70.666667,0,-14400,-14400,0,1406757720
calcutta,4631819.0,22.569722,88.369722,0,19800,19800,0,1406724480
toronto,4612187.0,43.666667,-79.416667,3600,-18000,-14400,0,1406767320
rangoon,4477782.0,16.7833333,96.1666667,0,23400,23400,0,1406722080
sydney,4394585.0,-33.861481,151.205475,0,36000,36000,0,1406704440
madras,4328416.0,13.083333,80.283333,0,19800,19800,0,1406725560
wuhan,4184206.0,30.580125,114.273405,0,28800,28800,0,1406719080
saint petersburg,4039751.0,59.894444,30.264167,0,14400,14400,0,1406745180
chongqing,3967028.0,29.562778,106.552778,0,28800,28800,0,1406720820
xian,3953191.0,34.258333,108.928611,0,28800,28800,0,1406720760
chengdu,3950437.0,30.666667,104.066667,0,28800,28800,0,1406721540
los angeles,3877129.0,34.0522222,-118.2427778,3600,-28800,-25200,0,1406775300
alexandria,3811512.0,31.1980556,29.9191667,0,7200,7200,0,1406739420
tianjin,3766207.0,39.142222,117.176667,0,28800,28800,0,1406719440
melbourne,3730212.0,-37.813938,144.963425,0,36000,36000,0,1406705460
ahmadabad,3719933.0,23.033333,72.616667,0,19800,19800,0,1406728320
abidjan,3692570.0,5.309657,-4.012656,0,0,0,0,1406745180
kano,3626204.0,11.994354,8.513807,0,3600,3600,0,1406742720
casablanca,3609698.0,33.592779,-7.619157,0,0,0,0,1406752320
hyderabad,3598199.0,17.375278,78.474444,0,19800,19800,0,1406726400
ibadan,3565810.0,7.387778,3.896389,0,3600,3600,0,1406743440
singapore,3547809.0,1.2930556,103.8558333,0,28800,28800,0,1406718960
ankara,3519177.0,39.911652,32.840305,3600,7200,10800,0,1406739840
shenyang,3512192.0,41.792222,123.432778,0,28800,28800,0,1406718360
riyadh,3469290.0,24.653664,46.71522,0,10800,10800,0,1406734680
ho chi minh city,3467426.0,10.75,106.666667,0,25200,25200,0,1406719020
cape town,3433504.0,-33.925839,18.423218,0,7200,7200,0,1406736300
berlin,3398362.0,52.516667,13.4,3600,3600,7200,0,1406746860
montreal,3268513.0,45.5,-73.583333,3600,-18000,-14400,0,1406766240
harbin,3229883.0,45.75,126.65,0,28800,28800,0,1406718240
guangzhou,3152825.0,23.116667,113.25,0,28800,28800,0,1406718540
durban,3120340.0,-29.857896,31.029198,0,7200,7200,0,1406733720
madrid,3102644.0,40.408566,-3.69222,3600,3600,7200,0,1406748660
nanjing,3087010.0,32.061667,118.777778,0,28800,28800,0,1406718180
kabul,3043589.0,34.516667,69.183333,0,16200,16200,0,1406730420
pune,2935968.0,18.533333,73.866667,0,19800,19800,0,1406727600
surat,2894675.0,20.966667,72.9,0,19800,19800,0,1406728020
chicago,2841952.0,41.85,-87.65,3600,-21600,-18000,0,1406769000
kanpur,2823523.0,26.466667,80.35,0,19800,19800,0,1406726820
umm durman,2810328.0,15.6361111,32.4372222,0,10800,10800,0,1406737260
luanda,2776125.0,-8.836804,13.233174,0,3600,3600,0,1406739900
addis abeba,2757807.0,9.024325,38.749226,0,10800,10800,0,1406735220
nairobi,2750561.0,-1.2833333,36.8166667,0,10800,10800,0,1406734860
taiyuan,2722475.0,37.726944,112.470833,0,28800,28800,0,1406720400
jaipur,2711937.0,26.916667,75.816667,0,19800,19800,0,1406727960
salvador,2711903.0,-12.983333,-38.516667,0,-10800,-10800,0,1406751960
dakar,2702820.0,14.6708333,-17.4380556,0,0,0,0,1406749140
dar es salaam,2698651.0,-6.8,39.2833333,0,10800,10800,0,1406733780
rome,2643736.0,41.9,12.483333,3600,3600,7200,0,1406745000
mogadishu,2590180.0,2.0666667,45.3666667,0,10800,10800,0,1406733060
jiddah,2545728.0,21.516944,39.219167,0,10800,10800,0,1406736180
changchun,2537421.0,43.88,125.322778,0,28800,28800,0,1406718240
taipei,2514794.0,25.0391667,121.525,0,28800,28800,0,1406716740
kiev,2514227.0,50.433333,30.516667,3600,7200,10800,0,1406742300
faisalabad,2507302.0,31.416667,73.083333,0,18000,18000,0,1406729100
izmir,2501895.0,38.412726,27.138376,3600,7200,10800,0,1406740980
lakhnau,2472250.0,26.85,80.916667,0,19800,19800,0,1406726700
gizeh,2443490.0,30.0086111,31.2122222,0,7200,7200,0,1406739000
fortaleza,2416920.0,-3.316667,-41.416667,0,-10800,-10800,0,1406753460
cali,2392897.0,3.437222,-76.5225,0,-18000,-18000,0,1406762400
surabaya,2374920.0,-7.249167,112.750833,0,25200,25200,0,1406716140
belo horizonte,2373255.0,-19.916667,-43.933333,0,-10800,-10800,0,1406752680
mashhad,2307254.0,36.297,59.6062,3600,12600,16200,0,1406732940
nagpur,2228191.0,21.15,79.1,0,19800,19800,0,1406726580
harare,2213701.0,-17.8177778,31.0447222,0,7200,7200,0,1406734860
brasilia,2207812.0,-15.783333,-47.916667,0,-10800,-10800,0,1406754000
santo domingo,2202016.0,18.4666667,-69.9,0,-14400,-14400,0,1406762100
nagoya,2191291.0,35.180198,136.906739,0,32400,32400,0,1406714160
aleppo,2139878.0,36.2027778,37.1586111,3600,7200,10800,0,1406738280
paris,2110694.0,48.866667,2.333333,3600,3600,7200,0,1406748720
jinan,2069266.0,36.668333,116.997222,0,28800,28800,0,1406719140
tangshan,2054526.0,37.3325,114.701389,0,28800,28800,0,1406719800
dalian,2035307.0,38.912222,121.602222,0,28800,28800,0,1406718360
houston,2027712.0,29.7630556,-95.3630556,3600,-21600,-18000,0,1406769300
johannesburg,2026466.0,-26.205171,28.049815,0,7200,7200,0,1406734800
medellin,2000001.0,6.25184,-75.563591,0,-18000,-18000,0,1406762400
algiers,1980242.0,36.7630556,3.0505556,0,3600,3600,0,1406746560
tashkent,1978078.0,41.3166667,69.25,0,18000,18000,0,1406731320
khartoum,1974780.0,15.5880556,32.5341667,0,10800,10800,0,1406737260
accra,1963460.0,5.55,-0.2166667,0,0,0,0,1406744280
guayaquil,1952029.0,-2.1666667,-79.9,0,-18000,-18000,0,1406762760
maracaibo,1948269.0,10.6316667,-71.6405556,0,-16200,-16200,0,1406761800
rabat,1894386.0,34.013784,-6.844268,0,0,0,0,1406752140
jilin,1881977.0,43.850833,126.560278,0,28800,28800,0,1406717940
hangzhou,1878129.0,30.29365,120.161419,0,28800,28800,0,1406717640
bucharest,1877155.0,44.433333,26.1,3600,7200,10800,0,1406742180
nanchang,1871351.0,28.55,115.933333,0,28800,28800,0,1406718420
conakry,1871185.0,9.5091667,-13.7122222,0,0,0,0,1406747820
brisbane,1843459.0,-27.47101,153.024292,0,36000,36000,0,1406704680
vancouver,1837970.0,49.25,-123.133333,3600,-28800,-25200,0,1406778900
indore,1837230.0,22.716667,75.833333,0,19800,19800,0,1406727540
caracas,1815681.0,10.5,-66.9166667,0,-16200,-16200,0,1406760660
ecatepec,1806297.0,19.601111,-99.0525,3600,-21600,-18000,0,1406769180
medan,1751190.0,3.583333,98.666667,0,25200,25200,0,1406720340
rawalpindi,1743599.0,33.6007,73.0679,0,18000,18000,0,1406729340
minsk,1742123.0,53.9,27.5666667,0,10800,10800,0,1406743860
hamburg,1733846.0,53.55,10.0,3600,3600,7200,0,1406748000
curitiba,1718433.0,-25.416667,-49.25,0,-10800,-10800,0,1406753460
budapest,1708088.0,47.5,19.083333,3600,3600,7200,0,1406744400
bandung,1699822.0,-6.903889,107.618611,0,25200,25200,0,1406717400
soweto,1695094.0,-26.267812,27.858492,0,7200,7200,0,1406734860
warsaw,1651676.0,52.25,21.0,3600,3600,7200,0,1406745000
qingdao,1642245.0,36.098611,120.371944,0,28800,28800,0,1406718240
guadalajara,1640649.0,20.666667,-103.333333,3600,-21600,-18000,0,1406766720
pretoria,1619485.0,-25.706944,28.229444,0,7200,7200,0,1406734800
patna,1600085.0,25.6,85.116667,0,19800,19800,0,1406725560
bhopal,1600080.0,23.266667,77.4,0,19800,19800,0,1406727180
manaus,1598227.0,-3.113333,-60.025278,0,-14400,-14400,0,1406757900
xinyang,1590668.0,32.095833,114.120278,0,28800,28800,0,1406719260
kaduna,1582211.0,10.522239,7.43828,0,3600,3600,0,1406742840
damascus,1576843.0,33.5,36.3,3600,7200,10800,0,1406738160
phnum penh,1573523.0,11.55,104.9166667,0,25200,25200,0,1406719500
barcelona,1570378.0,41.398371,2.1741,3600,3600,7200,0,1406747400
vienna,1569315.0,48.2,16.366667,3600,3600,7200,0,1406745180
esfahan,1547241.0,32.657218,51.677608,3600,12600,16200,0,1406734380
ludhiana,1545476.0,30.9,75.85,0,19800,19800,0,1406728380
kobe,1528487.0,34.691304,135.182995,0,32400,32400,0,1406714520
bekasi,1520204.0,-6.2349,106.9896,0,25200,25200,0,1406717580
kaohsiung,1512832.0,22.6177778,120.3013889,0,28800,28800,0,1406716800
kaohsiung,1512832.0,22.6333333,120.35,0,28800,28800,0,1406716800
urumqi,1508225.0,43.800965,87.600459,0,28800,28800,0,1406727240
thana,1486453.0,19.2,72.966667,0,19800,19800,0,1406727840
recife,1478118.0,-8.05,-34.9,0,-10800,-10800,0,1406751480
kumasi,1468797.0,6.6833333,-1.6166667,0,0,0,0,1406744700
kuala lumpur,1453978.0,3.166667,101.7,0,28800,28800,0,1406719620
philadelphia,1453268.0,39.9522222,-75.1641667,3600,-18000,-14400,0,1406765760
karaj,1448996.0,35.8355,51.0103,3600,12600,16200,0,1406734920
perth,1446715.0,-31.95224,115.861397,0,28800,28800,0,1406713140
cordoba,1441007.0,-31.413496,-64.181052,0,-10800,-10800,0,1406756400
multan,1437644.0,30.195556,71.475278,0,18000,18000,0,1406729340
hanoi,1431377.0,21.033333,105.85,0,25200,25200,0,1406720100
ha noi,1431377.0,21.033333,105.85,0,25200,25200,0,1406720100
agra,1430194.0,27.183333,78.016667,0,19800,19800,0,1406727420
phoenix,1428509.0,33.4483333,-112.0733333,0,-25200,-25200,0,1406773740
tabriz,1424701.0,38.08,46.2919,3600,12600,16200,0,1406736360
novosibirsk,1419016.0,55.0415,82.9346,0,25200,25200,0,1406730780
lanzhou,1417742.0,36.056389,103.792222,0,28800,28800,0,1406722260
bursa,1413485.0,40.191667,29.061111,3600,7200,10800,0,1406740800
vadodara,1409565.0,22.3,73.2,0,19800,19800,0,1406728080
belem,1407737.0,-1.45,-48.483333,0,-14400,-14400,0,1406758860
juarez,1403025.0,31.733333,-106.483333,3600,-25200,-21600,0,1406772180
fushun,1400646.0,41.7,123.883333,0,28800,28800,0,1406718240
quito,1399814.0,-0.2166667,-78.5,0,-18000,-18000,0,1406762580
puebla,1392137.0,19.05,-98.2,3600,-21600,-18000,0,1406768940
antananarivo,1391506.0,-18.9166667,47.5166667,0,10800,10800,0,1406730780
luoyang,1390581.0,34.683611,112.453611,0,28800,28800,0,1406719980
hefei,1388904.0,31.863889,117.280833,0,28800,28800,0,1406718480
hyderabad,1386840.0,25.39242,68.373656,0,18000,18000,0,1406729580
valencia,1385202.0,10.1805556,-68.0038889,0,-16200,-16200,0,1406760900
gujranwala,1384869.0,32.161667,74.188309,0,18000,18000,0,1406728920
barranquilla,1380437.0,10.963889,-74.796389,0,-18000,-18000,0,1406762580
tijuana,1376494.0,32.533333,-117.016667,3600,-28800,-25200,0,1406774820
lubumbashi,1374808.0,-11.666667,27.466667,0,7200,7200,0,1406732640
porto alegre,1372763.0,-30.033333,-51.2,0,-10800,-10800,0,1406753460
tangerang,1372185.0,-6.178056,106.63,0,25200,25200,0,1406717700
handan,1358318.0,36.566667,114.533333,0,28800,28800,0,1406719740
kampala,1353236.0,0.3155556,32.5655556,0,10800,10800,0,1406736000
suzhou,1343091.0,31.311389,120.618056,0,28800,28800,0,1406717640
khulna,1342429.0,22.8,89.55,0,21600,21600,0,1406724240
douala,1338144.0,4.0502778,9.7,0,3600,3600,0,1406741760
makasar,1321832.0,-5.14,119.4221,0,28800,28800,0,1406714700
kawasaki,1306804.0,35.520556,139.717222,0,32400,32400,0,1406713560
montevideo,1305865.0,-34.8580556,-56.1708333,0,-10800,-10800,0,1406754120
yaounde,1299446.0,3.8666667,11.5166667,0,3600,3600,0,1406741340
bamako,1297390.0,12.65,-8.0,0,0,0,0,1406746740
semarang,1288221.0,-6.9932,110.4203,0,25200,25200,0,1406716740
yekaterinburg,1287586.0,56.8519,60.6122,0,21600,21600,0,1406736840
san diego,1287050.0,32.7152778,-117.1563889,3600,-28800,-25200,0,1406774880
pimpri,1284702.0,18.616667,73.8,0,19800,19800,0,1406727600
nizhniy novgorod,1284176.0,56.326944,44.0075,0,14400,14400,0,1406740620
faridabad,1280909.0,28.433333,77.316667,0,19800,19800,0,1406727720
lusaka,1267458.0,-15.4166667,28.2833333,0,7200,7200,0,1406735700
kalyan,1262355.0,19.25,73.15,0,19800,19800,0,1406727840
san antonio,1256810.0,29.4238889,-98.4933333,3600,-21600,-18000,0,1406770020
stockholm,1253309.0,59.333333,18.05,3600,3600,7200,0,1406747880
bayrut,1252010.0,33.8719444,35.5097222,3600,7200,10800,0,1406738400
beirut,1252010.0,33.8719444,35.5097222,3600,7200,10800,0,1406738400
shiraz,1249972.0,29.6036,52.5388,3600,12600,16200,0,1406733840
adana,1249680.0,37.001667,35.328889,3600,7200,10800,0,1406738820
munich,1246133.0,48.15,11.5833,3600,3600,7200,0,1406746320
palembang,1241334.0,-2.916667,104.75,0,25200,25200,0,1406718420
port-au-prince,1234750.0,18.5391667,-72.335,3600,-18000,-14400,0,1406759040
nezahualcoyotl,1232565.0,19.413611,-99.033056,3600,-21600,-18000,0,1406769180
peshawar,1219248.0,34.008,71.578488,0,18000,18000,0,1406729760
rosario,1218497.0,-32.946818,-60.639317,0,-10800,-10800,0,1406755380
davao,1212285.0,7.073056,125.612778,0,28800,28800,0,1406714160
dallas,1211704.0,32.7833333,-96.8,3600,-21600,-18000,0,1406770020
mandalay,1208227.0,22.0,96.0833333,0,23400,23400,0,1406722560
almaty,1204820.0,43.25,76.95,0,21600,21600,0,1406729760
mecca,1199659.0,21.426667,39.826111,0,10800,10800,0,1406736000
ghaziabad,1199306.0,28.666667,77.433333,0,19800,19800,0,1406727720
anshan,1199275.0,41.123611,122.99,0,28800,28800,0,1406718360
xuzhou,1199193.0,34.180454,117.15707,0,28800,28800,0,1406718780
depok,1198195.0,-6.343333,106.498889,0,25200,25200,0,1406717700
maputo,1191613.0,-25.9652778,32.5891667,0,7200,7200,0,1406733720
freetown,1190761.0,8.49,-13.2341667,0,0,0,0,1406747640
fuzhou,1179720.0,26.061389,119.306111,0,28800,28800,0,1406717400
rajkot,1177434.0,22.3,70.783333,0,19800,19800,0,1406728680
guiyang,1171633.0,26.583333,106.716667,0,28800,28800,0,1406720460
goiania,1171209.0,-16.666667,-49.266667,0,-10800,-10800,0,1406754240
guarulhos,1169601.0,-23.45068,-46.526175,0,-10800,-10800,0,1406752980
varanasi,1164520.0,25.333333,83.0,0,19800,19800,0,1406726040
fez,1160239.0,34.037151,-4.999797,0,0,0,0,1406751720
milan,1156903.0,45.466667,9.2,3600,3600,7200,0,1406746380
prague,1154508.0,50.083333,14.466667,3600,3600,7200,0,1406746080
tripoli,1150990.0,32.8925,13.18,0,7200,7200,0,1406743620
port harcourt,1148753.0,4.777423,7.013404,0,3600,3600,0,1406742480
hiroshima,1143850.0,34.434844,132.740622,0,32400,32400,0,1406715120
managua,1140499.0,12.1508333,-86.2683333,0,-21600,-21600,0,1406765460
dubai,1137376.0,25.258172,55.304717,0,14400,14400,0,1406732700
samara,1134742.0,53.1835,50.1182,0,14400,14400,0,1406738280
omsk,1129289.0,55.0,73.4,0,25200,25200,0,1406733060
benin,1125126.0,6.335045,5.627492,0,3600,3600,0,1406742900
monterrey,1122912.0,25.666667,-100.316667,3600,-21600,-18000,0,1406770080
baku,1116513.0,40.395278,49.882222,3600,14400,18000,0,1406735820
brazzaville,1115773.0,-4.2591667,15.2847222,0,3600,3600,0,1406739780
belgrade,1115200.0,44.818611,20.468056,3600,3600,7200,0,1406743620
leon,1114662.0,21.116667,-101.666667,3600,-21600,-18000,0,1406769960
maiduguri,1112511.0,11.846441,13.160274,0,3600,3600,0,1406741580
wuxi,1108647.0,31.568873,120.288573,0,28800,28800,0,1406717760
kazan,1104750.0,55.78874,49.122144,0,14400,14400,0,1406739240
yerevan,1093499.0,40.1811111,44.5136111,0,14400,14400,0,1406737080
amritsar,1092528.0,31.633056,74.865556,0,19800,19800,0,1406728680
copenhagen,1089958.0,55.666667,12.583333,3600,3600,7200,0,1406747940
taichung,1083582.0,24.1433333,120.6813889,0,28800,28800,0,1406716860
saitama,1077730.0,35.895534,139.67747,0,32400,32400,0,1406713620
rostov-na-donu,1074495.0,47.23135,39.723284,0,14400,14400,0,1406739420
adelaide,1074168.0,-34.928661,138.598633,0,34200,34200,0,1406707380
allahabad,1073544.0,25.45,81.85,0,19800,19800,0,1406726340
gaziantep,1066561.0,37.059444,37.3825,3600,7200,10800,0,1406738340
visakhapatnam,1063293.0,17.7,83.3,0,19800,19800,0,1406725260
chelyabinsk,1062931.0,55.154444,61.429722,0,21600,21600,0,1406736120
sofia,1062065.0,42.6833333,23.3166667,3600,7200,10800,0,1406742540
datong,1052678.0,40.093611,113.291389,0,28800,28800,0,1406720520
tbilisi,1049516.0,41.725,44.7908333,0,14400,14400,0,1406737260
xianyang,1034081.0,34.33778,108.70261,0,28800,28800,0,1406720820
ufa,1033350.0,54.785167,56.045621,0,21600,21600,0,1406737260
campinas,1031573.0,-22.9,-47.083333,0,-10800,-10800,0,1406753160
ouagadougou,1031330.0,12.3702778,-1.5247222,0,0,0,0,1406745120
jabalpur,1030276.0,23.166667,79.95,0,19800,19800,0,1406726580
haora,1027771.0,22.589167,88.310278,0,19800,19800,0,1406724480
huainan,1027655.0,32.626389,116.996944,0,28800,28800,0,1406718660
dublin,1024027.0,53.3330556,-6.2488889,3600,0,3600,0,1406751780
kunming,1023674.0,25.038889,102.718333,0,28800,28800,0,1406721240
brussels,1019022.0,50.833333,4.333333,3600,3600,7200,0,1406748660
aurangabad,1016520.0,19.883333,75.333333,0,19800,19800,0,1406727360
qom,1011103.0,34.6401,50.8764,3600,12600,16200,0,1406734800
volgograd,1010331.0,48.71939,44.501835,0,14400,14400,0,1406738580
shenzhen,1002592.0,22.533333,114.133333,0,28800,28800,0,1406718300
nova iguacu,1002129.0,-22.759188,-43.431887,0,-10800,-10800,0,1406752260
rongcheng,1001985.0,23.528858,116.364159,0,28800,28800,0,1406717820
odesa,1001553.0,46.463934,30.738551,3600,7200,10800,0,1406741400
kitakyushu,997545.0,33.833333,130.833333,0,32400,32400,0,1406715480
sholapur,997358.0,17.683333,75.916667,0,19800,19800,0,1406727000
baoding,995652.0,38.851111,115.490278,0,28800,28800,0,1406719800
benxi,987717.0,41.288611,123.765,0,28800,28800,0,1406718180
zapopan,987555.0,20.716667,-103.4,3600,-21600,-18000,0,1406766720
birmingham,984336.0,52.466667,-1.916667,3600,0,3600,0,1406750520
perm,982428.0,58.009282,56.284063,0,21600,21600,0,1406738220
naples,981284.0,40.833333,14.25,3600,3600,7200,0,1406744460
srinagar,975926.0,34.092222,74.802222,0,19800,19800,0,1406728980
zaria,975228.0,11.113236,7.725176,0,3600,3600,0,1406742840
guatemala city,973208.0,14.621111,-90.526944,0,-21600,-21600,0,1406766660
guatemala,973208.0,14.621111,-90.526944,0,-21600,-21600,0,1406766660
mendoza,973047.0,-32.890845,-68.827171,0,-10800,-10800,0,1406757360
cologne,968823.0,50.933333,6.95,3600,3600,7200,0,1406748060
calgary,968475.0,51.083333,-114.083333,3600,-25200,-21600,0,1406777100
port elizabeth,967722.0,-33.917988,25.570066,0,7200,7200,0,1406734560
maceio,955010.0,-9.666667,-35.716667,0,-10800,-10800,0,1406751540
cartagena,952036.0,10.399722,-75.514444,0,-18000,-18000,0,1406762700
changzhou,949018.0,31.783333,119.966667,0,28800,28800,0,1406717820
ranchi,945079.0,23.35,85.333333,0,19800,19800,0,1406725320
marrakesh,942631.0,31.631485,-8.008281,0,0,0,0,1406752140
sao goncalo,939101.0,-22.800278,-43.025556,0,-10800,-10800,0,1406752200
monrovia,935427.0,6.3105556,-10.8047222,0,0,0,0,1406746860
irbil,932854.0,36.19,44.0088889,0,10800,10800,0,1406736660
jodhpur,921540.0,26.286667,73.03,0,19800,19800,0,1406728560
sao luis,917252.0,-2.516667,-44.266667,0,-10800,-10800,0,1406754180
chandigarh,914374.0,30.7343,76.7933,0,19800,19800,0,1406728140
madurai,909988.0,9.933333,78.116667,0,19800,19800,0,1406725800
krasnoyarsk,907460.0,56.0091,92.8628,0,28800,28800,0,1406728680
huaibei,903039.0,33.974444,116.791667,0,28800,28800,0,1406718840
cochabamba,900440.0,-17.3833333,-66.15,0,-14400,-14400,0,1406758200
guwahati,899132.0,26.183333,91.733333,0,19800,19800,0,1406724060
aba,897613.0,5.106576,7.366667,0,3600,3600,0,1406742420
san jose,897460.0,37.3394444,-121.8938889,3600,-28800,-25200,0,1406776560
bulawayo,897249.0,-20.15,28.5833333,0,7200,7200,0,1406735220
pingdingshan,889675.0,33.738472,113.301194,0,28800,28800,0,1406719680
detroit,884941.0,42.3313889,-83.0458333,3600,-18000,-14400,0,1406767980
gwalior,882551.0,26.223611,78.179167,0,19800,19800,0,1406727300
qiqihar,882364.0,47.340833,123.967222,0,28800,28800,0,1406719140
klang,879887.0,3.033333,101.45,0,28800,28800,0,1406719680
konya,876004.0,37.871354,32.484636,3600,7200,10800,0,1406739660
mbuji-mayi,874974.0,-6.15,23.6,0,7200,7200,0,1406734020
vijayawada,874684.0,16.516667,80.616667,0,19800,19800,0,1406725800
ottawa,874433.0,45.416667,-75.7,3600,-18000,-14400,0,1406766780
maisuru,868385.0,12.307222,76.649722,0,19800,19800,0,1406726400
wenzhou,865672.0,27.999416,120.66682,0,28800,28800,0,1406717280
saratov,863734.0,51.540556,46.008611,0,14400,14400,0,1406738820
ogbomosho,861303.0,8.133333,4.266667,0,3600,3600,0,1406743380
ahvaz,854980.0,31.3203,48.6693,3600,12600,16200,0,1406734920
tegucigalpa,850961.0,14.1,-87.2166667,0,-21600,-21600,0,1406765880
turin,846489.0,45.05,7.666667,3600,3600,7200,0,1406746680
naucalpan,846222.0,19.479444,-99.238333,3600,-21600,-18000,0,1406769180
ulaanbaatar,844786.0,47.9166667,106.9166667,0,28800,28800,0,1406723340
arequipa,844000.0,-16.3988889,-71.535,0,-18000,-18000,0,1406759580
voronezh,840590.0,51.672035,39.184301,0,14400,14400,0,1406740500
padang,840458.0,-0.953154,100.367659,0,25200,25200,0,1406719620
hubli,840285.0,15.35,75.166667,0,19800,19800,0,1406727000
lvov,830000.0,49.840661,24.030451,3600,7200,10800,0,1406743740
tucuman,828402.0,-26.824144,-65.2226,0,-10800,-10800,0,1406757120
tangier,825316.0,35.780576,-5.813646,0,0,0,0,1406752140
edmonton,822319.0,53.55,-113.5,3600,-25200,-21600,0,1406777580
duque de caxias,818339.0,-22.790321,-43.325009,0,-10800,-10800,0,1406752260
jos,816876.0,9.916667,8.9,0,3600,3600,0,1406742420
ilorin,814246.0,8.5,4.55,0,3600,3600,0,1406743380
la paz,812819.0,-16.5,-68.15,0,-14400,-14400,0,1406758800
barquisimeto,809564.0,10.0738889,-69.3227778,0,-16200,-16200,0,1406761200
oslo,808690.0,59.916667,10.75,3600,3600,7200,0,1406749920
nanning,803788.0,22.816667,108.316667,0,28800,28800,0,1406719680
johor bahru,802525.0,1.4655,103.7578,0,28800,28800,0,1406718960
mombasa,799727.0,-4.05,39.6666667,0,10800,10800,0,1406733900
asgabat,797900.0,37.95,58.3833333,0,18000,18000,0,1406733420
jacksonville,797557.0,30.3319444,-81.6558333,3600,-18000,-14400,0,1406766060
zaporizhzhya,796213.0,47.822892,35.190314,3600,7200,10800,0,1406740620
marseille,792823.0,43.285413,5.37606,3600,3600,7200,0,1406746920
kathmandu,790612.0,27.7166667,85.3166667,0,20700,20700,0,1406725740
jalandhar,785234.0,31.325556,75.579167,0,19800,19800,0,1406728500
thiruvananthapuram,784223.0,8.506944,76.956944,0,19800,19800,0,1406725980
sakai,782347.0,34.583333,135.466667,0,32400,32400,0,1406714460
anyang,781129.0,36.099444,114.328889,0,28800,28800,0,1406719740
selam,778462.0,11.65,78.166667,0,19800,19800,0,1406725980
tiruchchirappalli,775551.0,10.805,78.685556,0,19800,19800,0,1406725740
hohhot,774477.0,40.810556,111.652222,0,28800,28800,0,1406721000
niamey,774245.0,13.6666667,1.7833333,0,3600,3600,0,1406744460
niamey,774245.0,13.5166667,2.1166667,0,3600,3600,0,1406744340
indianapolis,773283.0,39.7683333,-86.1580556,3600,-18000,-14400,0,1406768340
valencia,769897.0,39.466667,-0.366667,3600,3600,7200,0,1406747760
bogor,769328.0,-6.594444,106.789167,0,25200,25200,0,1406717640
xining,767531.0,36.616667,101.766667,0,28800,28800,0,1406722800
kermanshah,766742.0,34.314167,47.065,3600,12600,16200,0,1406735700
liuzhou,763168.0,24.312582,109.389157,0,28800,28800,0,1406719560
kota,763141.0,25.183333,75.833333,0,19800,19800,0,1406727780
natal,763057.0,-5.783333,-35.216667,0,-10800,-10800,0,1406751780
bhubaneswar,762307.0,20.233333,85.833333,0,19800,19800,0,1406724900
qinhuangdao,759718.0,39.931667,119.588333,0,28800,28800,0,1406718960
hengyang,759602.0,26.888056,112.615,0,28800,28800,0,1406719080
antalya,758603.0,36.908118,30.695565,3600,7200,10800,0,1406739960
cebu,758597.0,10.311111,123.891667,0,28800,28800,0,1406714880
islamabad,756105.0,33.69,73.0551,0,18000,18000,0,1406729340
cracow,755050.0,50.083333,19.916667,3600,3600,7200,0,1406744760
aligarh,753280.0,27.883333,78.083333,0,19800,19800,0,1406727480
pietermaritzburg,750864.0,-29.616785,30.39278,0,7200,7200,0,1406733900
taian,750340.0,36.185278,117.12,0,28800,28800,0,1406719080
